Euclidean Distance for Fulton County-Georgia; 2016,,,,,,,,,,,,
Data downloaded on 21-February-2024,,,,,,,,,,,,
Year,County_FIPS,County,State,Euclidean Distance,Diagnosed Diabetes (Percentage) ,Obesity (Percentage) ,Physical Inactivity (Percentage) ,"Dentists: Rate per 100,000 (Rate)",Dentists: Number (Number) ,"Primary Care Physicians: Rate per 100,000 (Rate)",Primary Care Physicians: Number (Number) ,No Health Insurance (Percent) 
2016,13209,Montgomery County,Georgia,No Data,7.6,26.1,20.1,No Data,No Data,No Data,No Data,16.2966462
2016,13197,Marion County,Georgia,No Data,9,22.1,19.5,13.44086022,1,No Data,No Data,17.61432794
2016,13191,Mcintosh County,Georgia,No Data,8.3,20.4,16.7,26.97114088,3,No Data,No Data,17.60164694
2016,13183,Long County,Georgia,No Data,8,21.2,17.6,No Data,No Data,4.957612414,1,17.5084622
2016,13181,Lincoln County,Georgia,No Data,8.3,18.8,14.6,No Data,No Data,24.90349894,2,22.07997194
2016,13173,Lanier County,Georgia,No Data,9,20.9,19.4,10.09387302,1,No Data,No Data,14.63444256
2016,13165,Jenkins County,Georgia,No Data,8.2,19.7,16.5,No Data,No Data,34.30139492,3,17.93963918
2016,13149,Heard County,Georgia,No Data,7.2,20.5,15.3,No Data,No Data,16.70425123,2,17.46199324
2016,13125,Glascock County,Georgia,No Data,7.3,18.8,14.5,No Data,No Data,33.51206434,1,17.04111912
2016,13101,Echols County,Georgia,No Data,7.2,19.4,14.1,No Data,No Data,No Data,No Data,21.94584383
2016,13079,Crawford County,Georgia,No Data,8.1,19.7,15.9,No Data,No Data,8.175946366,1,17.61458333
2016,13061,Clay County,Georgia,No Data,8.5,21.3,19,No Data,No Data,34.89183531,1,18.50715746
2016,17071,Henderson County,Illinois,No Data,6.9,19.6,16.3,158.4283904,10,No Data,No Data,7.543103448
2016,17059,Gallatin County,Illinois,No Data,7.3,18.8,14.3,No Data,No Data,20.86375965,1,8.118971061
2016,17047,Edwards County,Illinois,No Data,7,20.5,15,16.46090535,1,No Data,No Data,7.523910733
2016,17035,Cumberland County,Illinois,No Data,7.3,19.7,14.3,9.666505558,1,No Data,No Data,6.477189558
2016,17009,Brown County,Illinois,No Data,7.2,18.6,14.6,No Data,No Data,15.27650474,1,3.83069917
2016,13007,Baker County,Georgia,No Data,8,20.5,16.1,No Data,No Data,No Data,No Data,17.49637506
2016,13003,Atkinson County,Georgia,No Data,8,20.3,18.2,11.91753069,1,No Data,No Data,26.27933277
2016,12077,Liberty County,Florida,No Data,11.2,36.6,34.8,25.3164557,2,No Data,No Data,15.99663229
2016,18155,Switzerland County,Indiana,No Data,9.1,26.6,21.1,10.2145046,1,No Data,No Data,10.04514673
2016,16037,Custer County,Idaho,No Data,6.3,23.5,18.2,22.58355917,1,No Data,No Data,12.07065751
2016,16033,Clark County,Idaho,No Data,7.1,20,15.2,No Data,No Data,No Data,No Data,27.3015873
2016,16025,Camas County,Idaho,No Data,7.1,19.6,15.1,No Data,No Data,No Data,No Data,16.51480638
2016,16023,Butte County,Idaho,No Data,6.7,21.5,22.3,No Data,No Data,37.79289494,1,10.08064516
2016,16015,Boise County,Idaho,No Data,7.8,23.7,15.6,No Data,No Data,24.79851209,2,11.48211244
2016,15005,Kalawao County,Hawaii,No Data,8.8,18.9,16,No Data,No Data,No Data,No Data,No Data
2016,13309,Wheeler County,Georgia,No Data,7.9,20.3,15.4,No Data,No Data,25.80312218,2,19.14621677
2016,13307,Webster County,Georgia,No Data,8.2,19.4,15.3,No Data,No Data,38.53564547,1,18.3323815
2016,13289,Twiggs County,Georgia,No Data,8.6,21.4,16.9,No Data,No Data,12.34110823,1,18.38588074
2016,13283,Treutlen County,Georgia,No Data,7.9,20.8,17.1,15.8579131,1,No Data,No Data,19.69411272
2016,13273,Terrell County,Georgia,No Data,8.5,19.5,15.7,11.15573405,1,No Data,No Data,20.19912506
2016,13269,Taylor County,Georgia,No Data,7.9,21.6,19.4,12.82215669,1,No Data,No Data,20.08481764
2016,13265,Taliaferro County,Georgia,No Data,8.4,19.2,15.6,No Data,No Data,No Data,No Data,17.3992674
2016,13263,Talbot County,Georgia,No Data,8.7,22.2,18,No Data,No Data,32.55738239,2,16.72789615
2016,13259,Stewart County,Georgia,No Data,8.6,19.4,15.3,No Data,No Data,No Data,No Data,18.87366819
2016,13249,Schley County,Georgia,No Data,8,20.1,16.1,No Data,No Data,19.24557352,1,15.19781719
2016,13243,Randolph County,Georgia,No Data,8.6,19.9,16.9,No Data,No Data,14.96557917,1,16.39192013
2016,13239,Quitman County,Georgia,No Data,8.1,19.1,16.5,44.58314757,1,No Data,No Data,20.75726842
2016,18025,Crawford County,Indiana,No Data,7.7,25.1,17.4,9.51112802,1,No Data,No Data,10.79694584
2016,17175,Stark County,Illinois,No Data,7,20,14.3,18.88930865,1,No Data,No Data,8.39246391
2016,17171,Scott County,Illinois,No Data,7,19.3,14.4,20.67824648,1,No Data,No Data,6.668396471
2016,17169,Schuyler County,Illinois,No Data,7.4,19.5,14.2,No Data,No Data,No Data,No Data,8.053691275
2016,17153,Pulaski County,Illinois,No Data,7.6,18.9,15,No Data,No Data,No Data,No Data,8.094742322
2016,17151,Pope County,Illinois,No Data,7.1,18.9,14.5,No Data,No Data,No Data,No Data,7.04012112
2016,20049,Elk County,Kansas,No Data,8.9,26.5,19.6,No Data,No Data,39.88831272,1,13.3066819
2016,20047,Edwards County,Kansas,No Data,8.2,23.5,18.1,35.31073446,1,No Data,No Data,15.18061271
2016,20043,Doniphan County,Kansas,No Data,7.6,27.5,20.9,No Data,No Data,40.02134472,3,9.738759552
2016,20039,Decatur County,Kansas,No Data,8.1,26,21.7,36.35041803,1,No Data,No Data,12.07161125
2016,20033,Comanche County,Kansas,No Data,7.5,20.5,18.3,No Data,No Data,118.3431953,2,10.16666667
2016,20019,Chautauqua County,Kansas,No Data,8,25.6,20.8,58.910162,2,No Data,No Data,15.81854043
2016,20017,Chase County,Kansas,No Data,7.1,21.9,16.4,No Data,No Data,No Data,No Data,9.221748401
2016,20007,Barber County,Kansas,No Data,7.3,25.6,19.5,No Data,No Data,45.89261129,2,12.79559443
2016,19159,Ringgold County,Iowa,No Data,7.7,25.7,16.9,No Data,No Data,124.9739638,6,6.397497868
2016,21091,Hancock County,Kentucky,No Data,8.9,24.3,19.8,66.19593998,6,No Data,No Data,6.451612903
2016,18171,Warren County,Indiana,No Data,7.9,25,19,11.79941003,1,No Data,No Data,6.224688766
2016,18161,Union County,Indiana,No Data,7.6,23.4,18.4,No Data,No Data,14.0469167,1,9.870176063
2016,21007,Ballard County,Kentucky,No Data,8.3,26.8,24.3,25.99090318,2,No Data,No Data,6.839740389
2016,20207,Woodson County,Kansas,No Data,7.9,26.7,18.9,32.23726628,1,No Data,No Data,11.67600172
2016,20199,Wallace County,Kansas,No Data,7.5,21.4,16.3,No Data,No Data,No Data,No Data,10.51724138
2016,20197,Wabaunsee County,Kansas,No Data,7.2,24,17.5,No Data,No Data,43.44048653,3,9.07421014
2016,20195,Trego County,Kansas,No Data,9.1,27.4,19.5,No Data,No Data,72.51631617,2,11.9941492
2016,20187,Stanton County,Kansas,No Data,7.1,23.8,19.1,No Data,No Data,No Data,No Data,17.26835138
2016,20135,Ness County,Kansas,No Data,8.1,24.7,19.9,No Data,No Data,108.3815029,3,15.48159355
2016,20129,Morton County,Kansas,No Data,7.5,23.1,19.8,No Data,No Data,118.2033097,3,17.29678639
2016,20119,Meade County,Kansas,No Data,6.8,25,18.6,24.86325211,1,No Data,No Data,18.24408468
2016,20105,Lincoln County,Kansas,No Data,7,25.1,16.9,No Data,No Data,33.48961822,1,11.14723641
2016,20101,Lane County,Kansas,No Data,8,20.4,19,No Data,No Data,No Data,No Data,13.71900826
2016,20097,Kiowa County,Kansas,No Data,6.8,23.7,18.1,No Data,No Data,40.71661238,1,13.72202591
2016,20089,Jewell County,Kansas,No Data,7.2,22.4,17.1,No Data,No Data,No Data,No Data,12.16015818
2016,20083,Hodgeman County,Kansas,No Data,8.1,22.8,16.2,No Data,No Data,112.4227094,2,14.12471826
2016,20081,Haskell County,Kansas,No Data,7.3,22.7,17.3,No Data,No Data,No Data,No Data,23.25505545
2016,20071,Greeley County,Kansas,No Data,7.2,19.3,16,No Data,No Data,83.61204013,1,14.90978158
2016,20069,Gray County,Kansas,No Data,7.4,28.6,19.7,No Data,No Data,16.79543164,1,20.42356888
2016,20065,Graham County,Kansas,No Data,7.8,21.8,21.9,No Data,No Data,83.71703642,2,13.08516638
2016,22023,Cameron Parish,Louisiana,No Data,8.5,22.4,17.6,No Data,No Data,28.55918892,2,8.327333813
2016,21201,Robertson County,Kentucky,No Data,7.1,19.7,16,No Data,No Data,No Data,No Data,7.373271889
2016,26083,Keweenaw County,Michigan,No Data,7,20.3,14.1,No Data,No Data,No Data,No Data,4.58240946
2016,21189,Owsley County,Kentucky,No Data,7.7,26.6,17.1,50.5944852,2,No Data,No Data,7.594936709
2016,21149,Mclean County,Kentucky,No Data,8.4,25.9,21.6,10.98901099,1,No Data,No Data,7.364660621
2016,28129,Smith County,Mississippi,No Data,9.5,26.6,22.1,42.28031851,6,No Data,No Data,16.36755205
2016,28125,Sharkey County,Mississippi,No Data,8.8,19,16.4,No Data,No Data,24.03846154,1,17.1314741
2016,28103,Noxubee County,Mississippi,No Data,10.1,30.4,21.6,9.878494517,1,No Data,No Data,16.774112
2016,28063,Jefferson County,Mississippi,No Data,10.4,25.6,20,No Data,No Data,28.58367872,2,14.88310207
2016,28055,Issaquena County,Mississippi,No Data,8.3,18.4,15.5,No Data,No Data,No Data,No Data,19.78319783
2016,28041,Greene County,Mississippi,No Data,8.6,25.8,21,14.67351431,2,No Data,No Data,13.19498391
2016,27155,Traverse County,Minnesota,No Data,7.4,22.3,19.1,60.86427267,2,No Data,No Data,6.050420168
2016,27125,Red Lake County,Minnesota,No Data,7.6,25.7,15.4,No Data,No Data,No Data,No Data,6.515301086
2016,27107,Norman County,Minnesota,No Data,8.7,27.5,21.7,62.34413965,4,No Data,No Data,6.825396825
2016,27087,Mahnomen County,Minnesota,No Data,9.2,29.7,21.7,No Data,No Data,18.27151471,1,9.333333333
2016,27069,Kittson County,Minnesota,No Data,7.7,24.5,15.4,48.23926676,2,No Data,No Data,5.107613235
2016,30019,Daniels County,Montana,No Data,7.1,22,18.4,118.623962,2,No Data,No Data,10.16949153
2016,30015,Chouteau County,Montana,No Data,7.5,24.6,19.6,16.90331305,1,No Data,No Data,14.29887175
2016,30011,Carter County,Montana,No Data,7,22.2,16.5,No Data,No Data,No Data,No Data,10.71428571
2016,29203,Shannon County,Missouri,No Data,7.4,20.1,18.5,No Data,No Data,No Data,No Data,16.37630662
2016,29181,Ripley County,Missouri,No Data,9.3,30.1,22.2,No Data,No Data,15.03759398,2,15.11822307
2016,29149,Oregon County,Missouri,No Data,7,22.1,20.8,11.58614297,1,No Data,No Data,14.72644377
2016,29145,Newton County,Missouri,No Data,8.5,26.7,18.4,23.57457987,14,60.52226831,No Data,14.95691553
2016,29129,Mercer County,Missouri,No Data,7.4,19.3,19.7,No Data,No Data,28.10567735,1,14.80373832
2016,29125,Maries County,Missouri,No Data,7.6,25.1,18,35.68879372,3,No Data,No Data,17.55829904
2016,29103,Knox County,Missouri,No Data,7.8,20.8,18.4,52.5210084,2,No Data,No Data,17.14869003
2016,29097,Jasper County,Missouri,No Data,9.5,30,22.2,64.95879177,80,60.52226831,No Data,15.32165819
2016,31183,Wheeler County,Nebraska,No Data,7.6,23.6,22.1,No Data,No Data,No Data,No Data,7.665505226
2016,31181,Webster County,Nebraska,No Data,6.9,26.8,25.5,No Data,No Data,29.24831822,1,7.41599073
2016,31171,Thomas County,Nebraska,No Data,6.3,25.7,20.8,No Data,No Data,No Data,No Data,7.399577167
2016,31167,Stanton County,Nebraska,No Data,7,32.5,22.4,No Data,No Data,No Data,No Data,7.275442714
2016,31165,Sioux County,Nebraska,No Data,5.6,18.5,20.4,No Data,No Data,83.33333333,1,8.010012516
2016,31163,Sherman County,Nebraska,No Data,7.7,31.5,24.4,No Data,No Data,No Data,No Data,8.150908244
2016,31149,Rock County,Nebraska,No Data,8.3,28.5,27.7,No Data,No Data,No Data,No Data,8
2016,42113,Sullivan County,Pennsylvania,No Data,7.5,19.1,15.6,17.04158146,1,No Data,No Data,9.155446756
2016,42053,Forest County,Pennsylvania,No Data,7.2,21.3,14.5,No Data,No Data,No Data,No Data,5.190538765
2016,41069,Wheeler County,Oregon,No Data,7.2,17.9,14.2,206.7539628,3,No Data,No Data,7.18171926
2016,41055,Sherman County,Oregon,No Data,6.5,16.7,14.6,No Data,No Data,55.5247085,1,8.197879859
2016,38095,Towner County,North Dakota,No Data,7.1,22.7,22.9,No Data,No Data,No Data,No Data,14.26735219
2016,38091,Steele County,North Dakota,No Data,7.6,23.3,18.3,No Data,No Data,No Data,No Data,6.831831832
2016,38087,Slope County,North Dakota,No Data,6.9,17.3,17,No Data,No Data,No Data,No Data,9.430255403
2016,38085,Sioux County,North Dakota,No Data,11.1,27.6,19.4,53.50454789,2,No Data,No Data,12.48622842
2016,38083,Sheridan County,North Dakota,No Data,6,19.5,20.3,No Data,No Data,No Data,No Data,12.52955083
2016,38081,Sargent County,North Dakota,No Data,8.6,32.3,20.6,No Data,No Data,No Data,No Data,7.201086957
2016,47033,Crockett County,Tennessee,No Data,7.5,21.4,21,42.92152514,6,No Data,No Data,13.93660351
2016,46137,Ziebach County,South Dakota,No Data,13.1,36.8,24.6,No Data,No Data,No Data,No Data,17.09641256
2016,46125,Turner County,South Dakota,No Data,6.2,28.4,15.3,22.96738631,2,No Data,No Data,10.91307524
2016,46119,Sully County,South Dakota,No Data,6.5,19.2,13.7,No Data,No Data,No Data,No Data,7.175712971
2016,48101,Cottle County,Texas,No Data,6.9,17.6,13.5,No Data,No Data,No Data,No Data,19.35797665
2016,48087,Collingsworth County,Texas,No Data,6.9,17.6,13.9,No Data,No Data,34.75842892,1,31.06096976
2016,48081,Coke County,Texas,No Data,7,18.8,14.4,No Data,No Data,No Data,No Data,20.35469569
2016,48079,Cochran County,Texas,No Data,6.8,17.5,13.3,No Data,No Data,34.51846738,1,28.64030858
2016,48077,Clay County,Texas,No Data,7.2,18.8,14.7,No Data,No Data,37.91469194,4,17.32755323
2016,48069,Castro County,Texas,No Data,6.9,18.1,13.8,No Data,No Data,27.04164413,2,26.44341801
2016,48065,Carson County,Texas,No Data,6.8,17.3,14.3,17.40341107,1,No Data,No Data,17.06349206
2016,48047,Brooks County,Texas,No Data,6.6,18.4,14.1,14.29796969,1,No Data,No Data,21.11348275
2016,48045,Briscoe County,Texas,No Data,6.8,17.8,13.9,No Data,No Data,67.24949563,1,27.0018622
2016,48033,Borden County,Texas,No Data,6.9,17.6,13.6,No Data,No Data,No Data,No Data,12.65822785
2016,48011,Armstrong County,Texas,No Data,6.9,17.1,14.1,No Data,No Data,No Data,No Data,16.73758865
2016,48009,Archer County,Texas,No Data,7.3,20.7,15.5,No Data,No Data,No Data,No Data,18.98624185
2016,47175,Van Buren County,Tennessee,No Data,7,20.6,15.6,15.81277672,1,No Data,No Data,14.70964987
2016,47137,Pickett County,Tennessee,No Data,7.4,18.3,18,No Data,No Data,59.27682276,3,15.80253723
2016,47127,Moore County,Tennessee,No Data,7.4,19.3,13.9,No Data,No Data,No Data,No Data,10.62512096
2016,48235,Irion County,Texas,No Data,6.7,18.5,14.8,No Data,No Data,No Data,No Data,18.74497184
2016,48229,Hudspeth County,Texas,No Data,7.1,18.7,14.2,No Data,No Data,No Data,No Data,29.21632358
2016,48211,Hemphill County,Texas,No Data,6.8,17.6,13.4,No Data,No Data,105.9041567,4,25.32942899
2016,48205,Hartley County,Texas,No Data,7,18.5,14.5,No Data,No Data,No Data,No Data,19.5018398
2016,48191,Hall County,Texas,No Data,6.9,18,14.3,No Data,No Data,No Data,No Data,28.52443609
2016,48175,Goliad County,Texas,No Data,7,18.5,13.6,41.88189306,3,No Data,No Data,20.16483516
2016,48173,Glasscock County,Texas,No Data,7,18.6,13.9,No Data,No Data,No Data,No Data,26.20967742
2016,48155,Foard County,Texas,No Data,7.1,18.7,13.6,No Data,No Data,No Data,No Data,19.08396947
2016,48137,Edwards County,Texas,No Data,6.9,17.5,13.4,No Data,No Data,52.00208008,1,29.22776149
2016,48131,Duval County,Texas,No Data,6.7,17.5,13.4,No Data,No Data,No Data,No Data,23.32225914
2016,48129,Donley County,Texas,No Data,7.1,18,13.6,30.5997552,1,No Data,No Data,22.8226887
2016,51021,Bland County,Virginia,No Data,7.8,22.6,14.7,48.59873643,3,No Data,No Data,7.622101628
2016,51017,Bath County,Virginia,No Data,6.5,16.4,15.3,48.61448712,2,No Data,No Data,8.455506308
2016,49033,Rich County,Utah,No Data,7.2,23.1,17.8,38.50596843,1,No Data,No Data,15.67128524
2016,49031,Piute County,Utah,No Data,6.8,19.6,18.8,No Data,No Data,No Data,No Data,13.22957198
2016,49009,Daggett County,Utah,No Data,7.4,19,13.9,No Data,No Data,No Data,No Data,11.83673469
2016,48475,Ward County,Texas,No Data,6.9,18.3,15.1,No Data,No Data,16.53302472,2,23.18643358
2016,48461,Upton County,Texas,No Data,6.9,17.4,13.6,No Data,No Data,55.20287055,2,22.32438396
2016,51181,Surry County,Virginia,No Data,7.9,19.3,14.4,No Data,No Data,15.66170713,1,9.011988425
2016,51097,King And Queen County,Virginia,No Data,7.2,20.4,13.5,No Data,No Data,28.81014117,2,9.517241379
2016,31125,Nance County,Nebraska,No Data,7.1,26.2,21.9,88.49557522,3,No Data,No Data,6.593406593
2016,31117,Mcpherson County,Nebraska,No Data,6.7,18.5,15.1,No Data,No Data,No Data,No Data,7.829181495
2016,31115,Loup County,Nebraska,No Data,7.1,20.8,16.8,No Data,No Data,No Data,No Data,5.057471264
2016,31113,Logan County,Nebraska,No Data,7.9,26.9,18.9,No Data,No Data,No Data,No Data,8.952380952
2016,31105,Kimball County,Nebraska,No Data,7.8,29.4,22.6,29.30832356,1,No Data,No Data,12.68774704
2016,31103,Keya Paha County,Nebraska,No Data,7.3,25.9,16.5,No Data,No Data,No Data,No Data,9.796672828
2016,28143,Tunica County,Mississippi,No Data,9,27.1,18.4,No Data,No Data,10.64735945,1,14.51999495
2016,31087,Hitchcock County,Nebraska,No Data,7.4,30.7,19.9,No Data,No Data,No Data,No Data,8.716075157
2016,31085,Hayes County,Nebraska,No Data,6.8,21.7,19.3,No Data,No Data,109.1703057,1,11.36363636
2016,31077,Greeley County,Nebraska,No Data,6.7,33.8,22.5,No Data,No Data,No Data,No Data,9.580463369
2016,31075,Grant County,Nebraska,No Data,7.1,21.3,16.6,No Data,No Data,No Data,No Data,8.372093023
2016,31073,Gosper County,Nebraska,No Data,6.4,20.3,13.2,No Data,No Data,50.35246727,1,9.520348837
2016,31069,Garden County,Nebraska,No Data,7.5,22.9,23.7,54.14185165,1,No Data,No Data,9.622786759
2016,31063,Frontier County,Nebraska,No Data,6.9,30.7,20.4,No Data,No Data,No Data,No Data,7.764317181
2016,31049,Deuel County,Nebraska,No Data,7.4,28.2,15.7,107.2386059,2,No Data,No Data,8.482142857
2016,31037,Colfax County,Nebraska,No Data,7,29.2,25.2,19.05124786,2,No Data,No Data,18.31287307
2016,31035,Clay County,Nebraska,No Data,7.9,27.8,20.2,No Data,No Data,32.17503218,2,9.972648853
2016,31015,Boyd County,Nebraska,No Data,9.8,28.6,24.9,No Data,No Data,53.76344086,1,8.259109312
2016,31009,Blaine County,Nebraska,No Data,7.5,26.1,18.5,No Data,No Data,No Data,No Data,7.103825137
2016,31007,Banner County,Nebraska,No Data,8.1,24,16.4,No Data,No Data,No Data,No Data,6.756756757
2016,31005,Arthur County,Nebraska,No Data,6.8,26.7,17.2,No Data,No Data,No Data,No Data,8.022922636
2016,30109,Wibaux County,Montana,No Data,6.7,19.3,15.3,No Data,No Data,No Data,No Data,11.2716763
2016,30107,Wheatland County,Montana,No Data,8,22.2,16.8,No Data,No Data,No Data,No Data,17.04095112
2016,30103,Treasure County,Montana,No Data,7,19.7,15,No Data,No Data,No Data,No Data,13.38289963
2016,30079,Prairie County,Montana,No Data,7.3,24.1,15.3,No Data,No Data,No Data,No Data,17.37931034
2016,30075,Powder River County,Montana,No Data,6.8,19.2,18.3,No Data,No Data,No Data,No Data,14.9957877
2016,30073,Pondera County,Montana,No Data,7.8,26.3,17.5,No Data,No Data,51.88516084,3,12.15408457
2016,30071,Phillips County,Montana,No Data,6.8,25.1,21.4,No Data,No Data,25.51671345,1,12.85076531
2016,30069,Petroleum County,Montana,No Data,7,19.3,14.1,No Data,No Data,No Data,No Data,6.970509383
2016,30065,Musselshell County,Montana,No Data,7.2,27,19.3,No Data,No Data,No Data,No Data,12.60744986
2016,30059,Meagher County,Montana,No Data,6.2,23,17.9,No Data,No Data,109.229929,2,14.69052946
2016,30055,Mccone County,Montana,No Data,7.4,21.8,21.3,No Data,No Data,No Data,No Data,11.16504854
2016,30045,Judith Basin County,Montana,No Data,7.4,25.7,17.4,No Data,No Data,No Data,No Data,10.29207232
2016,30039,Granite County,Montana,No Data,6.9,20.2,13.9,No Data,No Data,30.14772385,1,16.28106255
2016,30037,Golden Valley County,Montana,No Data,6.8,19.5,15.8,No Data,No Data,120.9189843,1,12.5862069
2016,30033,Garfield County,Montana,No Data,7.8,23.2,18.2,No Data,No Data,No Data,No Data,13.44262295
