County_FIPS,County,State,Obesity-2019-Percentage,Limited Access to Healthy Foods-2019-Percent
02275,Wrangell City and Borough,Alaska,23.5,5.0337559902
08005,Arapahoe County,Colorado,23.5,2.103148407
13033,Burke County,Georgia,23.5,7.6075248076
13103,Effingham County,Georgia,23.5,6.5348164991
17049,Effingham County,Illinois,23.5,4.6380903141
17081,Jefferson County,Illinois,23.5,9.6857715973
17175,Stark County,Illinois,23.5,19.693250713
18057,Hamilton County,Indiana,23.5,5.4837281476
18155,Switzerland County,Indiana,23.5,3.1143257648
24031,Montgomery County,Maryland,23.5,1.8318877973
26101,Manistee County,Michigan,23.5,2.1300865218
29083,Henry County,Missouri,23.5,15.870892853
46009,Bon Homme County,South Dakota,23.5,26.057880903
46061,Hanson County,South Dakota,23.5,14.734054443
50015,Lamoille County,Vermont,23.5,0.2893735842
51003,Albemarle County,Virginia,23.5,3.5266637922
51043,Clarke County,Virginia,23.5,0.0596539545
51097,King And Queen County,Virginia,23.5,4.975704694
51830,Williamsburg City,Virginia,23.5,5.641509498
55031,Douglas County,Wisconsin,23.5,8.5072598703
55113,Sawyer County,Wisconsin,23.5,10.935513485
05129,Searcy County,Arkansas,23.6,14.640397097
17085,Jo Daviess County,Illinois,23.6,3.7906071486
17133,Monroe County,Illinois,23.6,4.9428579661
17193,White County,Illinois,23.6,2.3276618176
27031,Cook County,Minnesota,23.6,8.9290308808
30011,Carter County,Montana,23.6,34.268155673
30089,Sanders County,Montana,23.6,12.960022996
36119,Westchester County,New York,23.6,1.3585055708
37123,Montgomery County,North Carolina,23.6,6.8648555271
49031,Piute County,Utah,23.6,47.834545261
51033,Caroline County,Virginia,23.6,1.5182674014
51091,Highland County,Virginia,23.6,34.448678028
51510,Alexandria City,Virginia,23.6,No Data
51790,Staunton City,Virginia,23.6,0.8224992135
53007,Chelan County,Washington,23.6,4.5962806036
55061,Kewaunee County,Wisconsin,23.6,0.0942432711
05011,Bradley County,Arkansas,23.7,10.207484005
08103,Rio Blanco County,Colorado,23.7,2.0724951674
08109,Saguache County,Colorado,23.7,15.727584076
13189,Mcduffie County,Georgia,23.7,0.1684954487
16021,Boundary County,Idaho,23.7,3.6410131796
16073,Owyhee County,Idaho,23.7,10.381707565
17061,Greene County,Illinois,23.7,0.632085237
17079,Jasper County,Illinois,23.7,4.1269679075
17145,Perry County,Illinois,23.7,9.2315742094
20019,Chautauqua County,Kansas,23.7,17.573231713
21039,Carlisle County,Kentucky,23.7,3.3529086401
22021,Caldwell Parish,Louisiana,23.7,3.871023687
30069,Petroleum County,Montana,23.7,29.594272276
37065,Edgecombe County,North Carolina,23.7,9.5589171538
44009,Washington County,Rhode Island,23.7,7.5959773538
46025,Clark County,South Dakota,23.7,16.231029964
47027,Clay County,Tennessee,23.7,0.084767096
47081,Hickman County,Tennessee,23.7,3.8672244492
01059,Franklin County,Alabama,23.8,5.7351046475
02050,Bethel Census Area,Alaska,23.8,39.85265045
05013,Calhoun County,Arkansas,23.8,24.688448274
06001,Alameda County,California,23.8,1.117399283
13053,Chattahoochee County,Georgia,23.8,39.34128842
17189,Washington County,Illinois,23.8,3.5827850398
17191,Wayne County,Illinois,23.8,8.4024115772
20137,Norton County,Kansas,23.8,7.7475547224
22123,West Carroll Parish,Louisiana,23.8,2.162654159
27087,Mahnomen County,Minnesota,23.8,16.628266248
29109,Lawrence County,Missouri,23.8,5.9772949095
30107,Wheatland County,Montana,23.8,16.344649858
37109,Lincoln County,North Carolina,23.8,6.8803728915
37125,Moore County,North Carolina,23.8,6.8293265826
41023,Grant County,Oregon,23.8,14.513174703
46053,Gregory County,South Dakota,23.8,11.124417916
46055,Haakon County,South Dakota,23.8,20.847997228
48233,Hutchinson County,Texas,23.8,8.8050339757
48287,Lee County,Texas,23.8,6.4460334662
48375,Potter County,Texas,23.8,11.7467489
51820,Waynesboro City,Virginia,23.8,7.9537350719
55011,Buffalo County,Wisconsin,23.8,5.4007113387
06011,Colusa County,California,23.9,12.356254156
08039,Elbert County,Colorado,23.9,7.0130407513
12086,Miami-Dade County,Florida,23.9,1.818706434
13317,Wilkes County,Georgia,23.9,6.8096726215
17033,Crawford County,Illinois,23.9,2.423367797
17105,Livingston County,Illinois,23.9,6.4947943519
35023,Hidalgo County,New Mexico,23.9,15.944338793
36087,Rockland County,New York,23.9,4.3583735359
37121,Mitchell County,North Carolina,23.9,1.7334266886
40063,Hughes County,Oklahoma,23.9,7.4415160189
41055,Sherman County,Oregon,23.9,17.754889229
48063,Camp County,Texas,23.9,4.9437141963
51045,Craig County,Virginia,23.9,3.6064907536
55053,Jackson County,Wisconsin,23.9,11.514809565
06023,Humboldt County,California,24,4.5402601268
06083,Santa Barbara County,California,24,2.8816911367
08043,Fremont County,Colorado,24,13.391966907
12115,Sarasota County,Florida,24,7.1106926909
13187,Lumpkin County,Georgia,24,0.2574228646
13241,Rabun County,Georgia,24,0.088043444
17045,Edgar County,Illinois,24,13.920388204
17055,Franklin County,Illinois,24,8.0329585166
17057,Fulton County,Illinois,24,4.5239850962
17203,Woodford County,Illinois,24,4.6875722456
23015,Lincoln County,Maine,24,0.924400504
27053,Hennepin County,Minnesota,24,3.8150786873
29199,Scotland County,Missouri,24,3.7043330424
37075,Graham County,North Carolina,24,1.0153177379
37175,Transylvania County,North Carolina,24,2.9514132769
38001,Adams County,North Dakota,24,5.6616768552
47005,Benton County,Tennessee,24,5.7688721062
48065,Carson County,Texas,24,5.2701291699
48073,Cherokee County,Texas,24,12.781225161
51017,Bath County,Virginia,24,10.482476842
55045,Green County,Wisconsin,24,3.5991962847
05099,Nevada County,Arkansas,24.1,27.36228135
08057,Jackson County,Colorado,24.1,8.2349973108
13071,Colquitt County,Georgia,24.1,12.741313854
13131,Grady County,Georgia,24.1,1.3810083817
13197,Marion County,Georgia,24.1,0.0026152339
13221,Oglethorpe County,Georgia,24.1,2.5047020688
13291,Union County,Georgia,24.1,1.6825366357
16037,Custer County,Idaho,24.1,8.2770607709
17181,Union County,Illinois,24.1,2.9004130263
21103,Henry County,Kentucky,24.1,1.1715638651
21167,Mercer County,Kentucky,24.1,5.3830990126
29217,Vernon County,Missouri,24.1,16.156022427
36059,Nassau County,New York,24.1,0.484462392
37041,Chowan County,North Carolina,24.1,16.281895063
40059,Harper County,Oklahoma,24.1,20.204107112
40093,Major County,Oklahoma,24.1,2.8882452307
40127,Pushmataha County,Oklahoma,24.1,9.4077090903
46023,Charles Mix County,South Dakota,24.1,3.5955309924
46081,Lawrence County,South Dakota,24.1,6.4499297168
51115,Mathews County,Virginia,24.1,0
53029,Island County,Washington,24.1,5.1405605067
06089,Shasta County,California,24.2,6.9163622184
08081,Moffat County,Colorado,24.2,14.698733774
13133,Greene County,Georgia,24.2,10.015364327
13147,Hart County,Georgia,24.2,No Data
13199,Meriwether County,Georgia,24.2,1.2189156807
13211,Morgan County,Georgia,24.2,10.981431576
17131,Mercer County,Illinois,24.2,7.5076766865
19091,Humboldt County,Iowa,24.2,7.4685004687
21077,Gallatin County,Kentucky,24.2,No Data
21105,Hickman County,Kentucky,24.2,1.2498226883
22023,Cameron Parish,Louisiana,24.2,5.8573058587
22075,Plaquemines Parish,Louisiana,24.2,20.326928014
26153,Schoolcraft County,Michigan,24.2,18.575028673
29221,Washington County,Missouri,24.2,6.9325871404
30063,Missoula County,Montana,24.2,4.9669449448
36047,Kings County,New York,24.2,0.0016470701
46049,Faulk County,South Dakota,24.2,18.779674583
46065,Hughes County,South Dakota,24.2,7.1120477662
47131,Obion County,Tennessee,24.2,2.9359250594
48049,Brown County,Texas,24.2,13.283698935
02230,Skagway Municipality,Alaska,24.3,0.0599157949
04005,Coconino County,Arizona,24.3,13.317311456
05039,Dallas County,Arkansas,24.3,26.792627756
12101,Pasco County,Florida,24.3,12.071725277
13043,Candler County,Georgia,24.3,0.3869191543
13061,Clay County,Georgia,24.3,1.1143388814
13235,Pulaski County,Georgia,24.3,1.6140882191
13281,Towns County,Georgia,24.3,0.0063237028
17071,Henderson County,Illinois,24.3,0.4891578291
28153,Wayne County,Mississippi,24.3,7.0537776561
29229,Wright County,Missouri,24.3,10.106975746
31075,Grant County,Nebraska,24.3,19.037185599
31083,Harlan County,Nebraska,24.3,2.5307214359
37047,Columbus County,North Carolina,24.3,3.6726869493
37077,Granville County,North Carolina,24.3,8.4577354828
47041,Dekalb County,Tennessee,24.3,7.1748276368
48175,Goliad County,Texas,24.3,9.8613689216
53047,Okanogan County,Washington,24.3,5.3809884767
55071,Manitowoc County,Wisconsin,24.3,6.7842826172
05095,Monroe County,Arkansas,24.4,14.983969818
06021,Glenn County,California,24.4,8.7453033087
08073,Lincoln County,Colorado,24.4,7.6808286429
16071,Oneida County,Idaho,24.4,5.3018657801
18159,Tipton County,Indiana,24.4,7.3218132468
19117,Lucas County,Iowa,24.4,9.6064058322
20063,Gove County,Kansas,24.4,33.050554846
20093,Kearny County,Kansas,24.4,3.2164873394
21005,Anderson County,Kentucky,24.4,2.3325396439
21091,Hancock County,Kentucky,24.4,4.9822677698
26131,Ontonagon County,Michigan,24.4,13.198085558
27033,Cottonwood County,Minnesota,24.4,2.062660403
28119,Quitman County,Mississippi,24.4,62.599917732
29135,Moniteau County,Missouri,24.4,3.9921128868
30057,Madison County,Montana,24.4,9.8616473849
30099,Teton County,Montana,24.4,18.296656538
31009,Blaine County,Nebraska,24.4,25.624999983
36103,Suffolk County,New York,24.4,4.0409064328
37193,Wilkes County,North Carolina,24.4,3.5182470508
41015,Curry County,Oregon,24.4,2.1252698151
42093,Montour County,Pennsylvania,24.4,4.2721011639
46111,Sanborn County,South Dakota,24.4,27.761429
48277,Lamar County,Texas,24.4,14.213674367
48473,Waller County,Texas,24.4,11.055042248
50003,Bennington County,Vermont,24.4,2.7851632114
51047,Culpeper County,Virginia,24.4,2.8807513674
51049,Cumberland County,Virginia,24.4,19.47060147
08009,Baca County,Colorado,24.5,10.293080398
13173,Lanier County,Georgia,24.5,0.2365889476
18101,Martin County,Indiana,24.5,3.140867701
24027,Howard County,Maryland,24.5,1.8904110911
29039,Cedar County,Missouri,24.5,10.980417351
29067,Douglas County,Missouri,24.5,19.65198433
29075,Gentry County,Missouri,24.5,9.6868318301
31115,Loup County,Nebraska,24.5,11.801915662
37011,Avery County,North Carolina,24.5,0.1933960905
38027,Eddy County,North Dakota,24.5,8.1830389509
40075,Kiowa County,Oklahoma,24.5,19.277810526
41027,Hood River County,Oregon,24.5,2.0909606211
42009,Bedford County,Pennsylvania,24.5,6.2731542153
45013,Beaufort County,South Carolina,24.5,13.102042243
46077,Kingsbury County,South Dakota,24.5,3.7701734882
47033,Crockett County,Tennessee,24.5,6.5417581261
47175,Van Buren County,Tennessee,24.5,0.8868503657
51107,Loudoun County,Virginia,24.5,0.9939536474
51113,Madison County,Virginia,24.5,0.2925756948
56023,Lincoln County,Wyoming,24.5,5.2113615358
56043,Washakie County,Wyoming,24.5,3.068047416
02060,Bristol Bay Borough,Alaska,24.6,11.679363273
02261,Valdez-Cordova Census Area,Alaska,24.6,10.344582001
12045,Gulf County,Florida,24.6,1.8898890351
13125,Glascock County,Georgia,24.6,27.729183631
17141,Ogle County,Illinois,24.6,4.031120999
18165,Vermillion County,Indiana,24.6,1.6978974342
20127,Morris County,Kansas,24.6,9.9469985178
22091,St. Helena Parish,Louisiana,24.6,2.7409564851
22127,Winn Parish,Louisiana,24.6,5.6153335916
26009,Antrim County,Michigan,24.6,0.0613777402
27023,Chippewa County,Minnesota,24.6,5.0833887545
28143,Tunica County,Mississippi,24.6,8.4289779013
29093,Iron County,Missouri,24.6,12.644323986
31031,Cherry County,Nebraska,24.6,10.852863822
36081,Queens County,New York,24.6,0.0745546481
37009,Ashe County,North Carolina,24.6,10.580773209
37017,Bladen County,North Carolina,24.6,7.2511461904
37091,Hertford County,North Carolina,24.6,11.39817985
40035,Craig County,Oklahoma,24.6,13.766352877
42035,Clinton County,Pennsylvania,24.6,3.4398576363
46091,Marshall County,South Dakota,24.6,15.154470982
47189,Wilson County,Tennessee,24.6,5.8100666154
49017,Garfield County,Utah,24.6,21.624415283
01111,Randolph County,Alabama,24.7,13.183328225
05047,Franklin County,Arkansas,24.7,1.8894521931
05105,Perry County,Arkansas,24.7,5.3058965635
06069,San Benito County,California,24.7,2.6969636936
13123,Gilmer County,Georgia,24.7,7.0800720923
13293,Upson County,Georgia,24.7,7.5294854884
16007,Bear Lake County,Idaho,24.7,6.0621533403
17043,Dupage County,Illinois,24.7,3.213370092
27107,Norman County,Minnesota,24.7,9.1759530608
29173,Ralls County,Missouri,24.7,1.5575911028
30059,Meagher County,Montana,24.7,41.046866745
32033,White Pine County,Nevada,24.7,12.457449331
37189,Watauga County,North Carolina,24.7,2.5514463778
45061,Lee County,South Carolina,24.7,2.8326362615
46021,Campbell County,South Dakota,24.7,8.5327103028
46087,Mccook County,South Dakota,24.7,11.407618818
48001,Anderson County,Texas,24.7,15.83915641
51075,Goochland County,Virginia,24.7,2.3759452669
01005,Barbour County,Alabama,24.8,10.433171672
01041,Crenshaw County,Alabama,24.8,13.506183464
05009,Boone County,Arkansas,24.8,8.8325340069
05081,Little River County,Arkansas,24.8,0.9872797871
13117,Forsyth County,Georgia,24.8,8.0651790871
15009,Maui County,Hawaii,24.8,5.759547507
20153,Rawlins County,Kansas,24.8,13.734554551
21197,Powell County,Kentucky,24.8,0.0013311595
22111,Union Parish,Louisiana,24.8,15.407385502
26053,Gogebic County,Michigan,24.8,4.8630427178
26085,Lake County,Michigan,24.8,0.596876967
28127,Simpson County,Mississippi,24.8,6.5248221832
39149,Shelby County,Ohio,24.8,4.1548760894
46063,Harding County,South Dakota,24.8,24.98060498
47133,Overton County,Tennessee,24.8,0.221175919
48419,Shelby County,Texas,24.8,7.4844469638
51081,Greensville County,Virginia,24.8,0.2504176815
01093,Marion County,Alabama,24.9,1.0310084298
06017,El Dorado County,California,24.9,4.258567239
13001,Appling County,Georgia,24.9,23.204908294
13161,Jeff Davis County,Georgia,24.9,18.026236086
13205,Mitchell County,Georgia,24.9,7.9440939229
17121,Marion County,Illinois,24.9,10.209779895
20039,Decatur County,Kansas,24.9,10.318603282
20081,Haskell County,Kansas,24.9,7.9428946701
28053,Humphreys County,Mississippi,24.9,11.870843062
29145,Newton County,Missouri,24.9,5.6952482355
30015,Chouteau County,Montana,24.9,22.463795793
30025,Fallon County,Montana,24.9,5.0251012808
31073,Gosper County,Nebraska,24.9,11.982621311
37197,Yadkin County,North Carolina,24.9,5.2809704002
44001,Bristol County,Rhode Island,24.9,12.093869358
51065,Fluvanna County,Virginia,24.9,3.1577054632
51193,Westmoreland County,Virginia,24.9,No Data
06037,Los Angeles County,California,25,1.4529508488
08063,Kit Carson County,Colorado,25,9.338723749
08119,Teller County,Colorado,25,3.2231295926
12091,Okaloosa County,Florida,25,11.104241101
13309,Wheeler County,Georgia,25,3.1698620323
19103,Johnson County,Iowa,25,2.3619256714
21057,Cumberland County,Kentucky,25,0.8035657292
23013,Knox County,Maine,25,1.6617192242
26043,Dickinson County,Michigan,25,7.6438031622
29035,Carter County,Missouri,25,26.342258868
30103,Treasure County,Montana,25,44.787644806
36123,Yates County,New York,25,0.1792236581
45077,Pickens County,South Carolina,25,15.601369479
46107,Potter County,South Dakota,25,12.355673517
47139,Polk County,Tennessee,25,1.9332402145
48055,Caldwell County,Texas,25,6.8826314168
51600,Fairfax City,Virginia,25,1.5896525154
53013,Columbia County,Washington,25,14.227239916
55097,Portage County,Wisconsin,25,2.5756377568
56013,Fremont County,Wyoming,25,5.9302506509
06063,Plumas County,California,25.1,1.0710775193
09013,Tolland County,Connecticut,25.1,6.5472527364
16015,Boise County,Idaho,25.1,13.848592848
16057,Latah County,Idaho,25.1,4.6064659277
17157,Randolph County,Illinois,25.1,4.4954556051
18161,Union County,Indiana,25.1,No Data
19087,Henry County,Iowa,25.1,10.449795042
20025,Clark County,Kansas,25.1,33.325710428
21225,Union County,Kentucky,25.1,19.977222375
30001,Beaverhead County,Montana,25.1,7.1374086501
30007,Broadwater County,Montana,25.1,3.8207479299
30065,Musselshell County,Montana,25.1,12.786346873
35028,Los Alamos County,New Mexico,25.1,5.0383085684
37061,Duplin County,North Carolina,25.1,6.3194708107
47187,Williamson County,Tennessee,25.1,4.9727812489
48403,Sabine County,Texas,25.1,5.5449778891
55019,Clark County,Wisconsin,25.1,6.850128581
01035,Conecuh County,Alabama,25.2,13.288972735
01113,Russell County,Alabama,25.2,6.6652776462
02122,Kenai Peninsula Borough,Alaska,25.2,7.8682757767
12109,St. Johns County,Florida,25.2,5.4761878812
13075,Cook County,Georgia,25.2,0.776539547
13091,Dodge County,Georgia,25.2,0.1543107179
16061,Lewis County,Idaho,25.2,16.288635729
18125,Pike County,Indiana,25.2,0.8508719481
18153,Sullivan County,Indiana,25.2,5.4341531086
21007,Ballard County,Kentucky,25.2,0.0074823204
26039,Crawford County,Michigan,25.2,2.1868671938
26047,Emmet County,Michigan,25.2,6.3182836872
29059,Dallas County,Missouri,25.2,14.128512802
37099,Jackson County,North Carolina,25.2,1.8589031159
38085,Sioux County,North Dakota,25.2,24.348999319
41049,Morrow County,Oregon,25.2,1.4546033235
42067,Juniata County,Pennsylvania,25.2,2.4815928833
46059,Hand County,South Dakota,25.2,9.1139948666
47035,Cumberland County,Tennessee,25.2,10.92216765
48291,Liberty County,Texas,25.2,4.1477981371
49025,Kane County,Utah,25.2,14.374069557
51077,Grayson County,Virginia,25.2,9.0421879288
51083,Halifax County,Virginia,25.2,10.348980343
51145,Powhatan County,Virginia,25.2,1.0930958754
55081,Monroe County,Wisconsin,25.2,6.5717891811
56033,Sheridan County,Wyoming,25.2,8.9617747382
02198,Prince of Wales-Hyder Census Area,Alaska,25.3,8.8410730896
06087,Santa Cruz County,California,25.3,5.4188617386
11001,District Of Columbia,District of Columbia,25.3,1.6061022907
13017,Ben Hill County,Georgia,25.3,13.162440819
13171,Lamar County,Georgia,25.3,9.1172568019
17025,Clay County,Illinois,25.3,5.6117841789
17137,Morgan County,Illinois,25.3,13.359792533
18043,Floyd County,Indiana,25.3,5.4646378198
19037,Chickasaw County,Iowa,25.3,3.1657151986
20179,Sheridan County,Kansas,25.3,12.011201486
20193,Thomas County,Kansas,25.3,17.660381885
22121,West Baton Rouge Parish,Louisiana,25.3,7.2838966635
26011,Arenac County,Michigan,25.3,0.0018110722
26089,Leelanau County,Michigan,25.3,1.1366012879
29057,Dade County,Missouri,25.3,3.9261132505
29171,Putnam County,Missouri,25.3,10.209789813
38029,Emmons County,North Dakota,25.3,13.407167048
38033,Golden Valley County,North Dakota,25.3,33.253758375
38073,Ransom County,North Dakota,25.3,1.7758858994
42023,Cameron County,Pennsylvania,25.3,3.0242296393
46051,Grant County,South Dakota,25.3,4.0229459305
47173,Union County,Tennessee,25.3,0.7238890054
51021,Bland County,Virginia,25.3,5.1961147263
55041,Forest County,Wisconsin,25.3,12.455443818
02016,Aleutians West Census Area,Alaska,25.4,7.8084301032
04025,Yavapai County,Arizona,25.4,12.979765332
05101,Newton County,Arkansas,25.4,11.354713473
13069,Coffee County,Georgia,25.4,2.8242211159
16039,Elmore County,Idaho,25.4,14.145561912
17063,Grundy County,Illinois,25.4,5.5315364904
18129,Posey County,Indiana,25.4,8.3932994279
18175,Washington County,Indiana,25.4,3.1299811234
19123,Mahaska County,Iowa,25.4,8.3779244397
20131,Nemaha County,Kansas,25.4,8.8546768431
21141,Logan County,Kentucky,25.4,3.3620940346
25007,Dukes County,Massachusetts,25.4,8.8272416104
28041,Greene County,Mississippi,25.4,1.6900523319
29149,Oregon County,Missouri,25.4,8.6895081759
30009,Carbon County,Montana,25.4,3.3414548536
36041,Hamilton County,New York,25.4,12.199298114
37015,Bertie County,North Carolina,25.4,24.485355139
37071,Gaston County,North Carolina,25.4,11.904867079
37159,Rowan County,North Carolina,25.4,8.8083921855
40055,Greer County,Oklahoma,25.4,7.0667950895
40061,Haskell County,Oklahoma,25.4,17.737623968
40065,Jackson County,Oklahoma,25.4,10.086207664
51685,Manassas Park City,Virginia,25.4,10.172288966
53057,Skagit County,Washington,25.4,6.7530722573
53075,Whitman County,Washington,25.4,10.324862636
02100,Haines Borough,Alaska,25.5,10.085293755
02188,Northwest Arctic Borough,Alaska,25.5,29.219553776
02220,Sitka City and Borough,Alaska,25.5,6.24763201
04012,La Paz County,Arizona,25.5,26.486596307
05049,Fulton County,Arkansas,25.5,5.9338312198
06111,Ventura County,California,25.5,2.3098155316
12119,Sumter County,Florida,25.5,5.9882168531
13005,Bacon County,Georgia,25.5,1.3038942796
13029,Bryan County,Georgia,25.5,9.6445856095
13251,Screven County,Georgia,25.5,9.7537758686
17027,Clinton County,Illinois,25.5,3.7409996199
17103,Lee County,Illinois,25.5,5.8449932448
17117,Macoupin County,Illinois,25.5,4.2088218016
18009,Blackford County,Indiana,25.5,7.5438061916
18021,Clay County,Indiana,25.5,5.5556265577
20033,Comanche County,Kansas,25.5,3.2214728284
22037,East Feliciana Parish,Louisiana,25.5,0.4371358891
29087,Holt County,Missouri,25.5,12.058704874
30101,Toole County,Montana,25.5,7.8892909236
41003,Benton County,Oregon,25.5,7.3827716636
42039,Crawford County,Pennsylvania,25.5,4.0617753523
46037,Day County,South Dakota,25.5,18.586414661
53019,Ferry County,Washington,25.5,24.535410594
12061,Indian River County,Florida,25.6,13.378994846
13295,Walker County,Georgia,25.6,13.721122513
16025,Camas County,Idaho,25.6,44.469525759
17001,Adams County,Illinois,25.6,3.2027826558
17077,Jackson County,Illinois,25.6,15.135822708
17161,Rock Island County,Illinois,25.6,5.9855055832
18025,Crawford County,Indiana,25.6,5.4922246717
18171,Warren County,Indiana,25.6,1.7045909608
19053,Decatur County,Iowa,25.6,3.5352155959
20207,Woodson County,Kansas,25.6,9.8394268247
25009,Essex County,Massachusetts,25.6,4.1017444054
26097,Mackinac County,Michigan,25.6,13.979010123
27127,Redwood County,Minnesota,25.6,11.66466486
28019,Choctaw County,Mississippi,25.6,6.3562341681
31045,Dawes County,Nebraska,25.6,9.7013212665
37087,Haywood County,North Carolina,25.6,3.2789239222
37089,Henderson County,North Carolina,25.6,8.1180273632
37135,Orange County,North Carolina,25.6,2.1777182446
40003,Alfalfa County,Oklahoma,25.6,14.835798691
40103,Noble County,Oklahoma,25.6,12.317511892
41013,Crook County,Oregon,25.6,5.3805001417
47161,Stewart County,Tennessee,25.6,6.8569798944
51095,James City County,Virginia,25.6,8.6788451227
51119,Middlesex County,Virginia,25.6,0.2705239051
51159,Richmond County,Virginia,25.6,2.3760610011
51163,Rockbridge County,Virginia,25.6,7.2951407261
51520,Bristol City,Virginia,25.6,13.840698455
51735,Poquoson City,Virginia,25.6,7.8538037853
56017,Hot Springs County,Wyoming,25.6,2.3721368019
06005,Amador County,California,25.7,0.0956320635
13137,Habersham County,Georgia,25.7,7.8664805669
13219,Oconee County,Georgia,25.7,3.4027985628
15003,Honolulu County,Hawaii,25.7,4.6191187328
15007,Kauai County,Hawaii,25.7,7.3890132414
17083,Jersey County,Illinois,25.7,3.9483724769
17093,Kendall County,Illinois,25.7,6.1358801841
18149,Starke County,Indiana,25.7,1.279719355
18181,White County,Indiana,25.7,0.3984322371
19025,Calhoun County,Iowa,25.7,8.8495476301
21211,Shelby County,Kentucky,25.7,0.3431525345
26061,Houghton County,Michigan,25.7,5.0958562478
27167,Wilkin County,Minnesota,25.7,5.6798928759
31037,Colfax County,Nebraska,25.7,9.3177498438
31171,Thomas County,Nebraska,25.7,34.573643345
35019,Guadalupe County,New Mexico,25.7,14.350893426
35035,Otero County,New Mexico,25.7,7.9017505315
37167,Stanly County,North Carolina,25.7,2.1830825848
38083,Sheridan County,North Dakota,25.7,28.924708076
46019,Butte County,South Dakota,25.7,16.823142035
55043,Grant County,Wisconsin,25.7,3.6869675381
01057,Fayette County,Alabama,25.8,0.4299896114
17029,Coles County,Illinois,25.8,10.410007183
19009,Audubon County,Iowa,25.8,2.354763485
20195,Trego County,Kansas,25.8,2.797494446
21065,Estill County,Kentucky,25.8,0.0366254094
26029,Charlevoix County,Michigan,25.8,0.399248469
28005,Amite County,Mississippi,25.8,6.8106303271
30051,Liberty County,Montana,25.8,19.208603868
31165,Sioux County,Nebraska,25.8,20.533924328
35001,Bernalillo County,New Mexico,25.8,6.0333507998
37165,Scotland County,North Carolina,25.8,9.5129318536
38041,Hettinger County,North Dakota,25.8,29.179767008
42071,Lancaster County,Pennsylvania,25.8,4.8538426167
46015,Brule County,South Dakota,25.8,13.200247608
46033,Custer County,South Dakota,25.8,7.637109242
46123,Tripp County,South Dakota,25.8,12.164204572
47047,Fayette County,Tennessee,25.8,4.8527019617
47143,Rhea County,Tennessee,25.8,11.635892808
48135,Ector County,Texas,25.8,7.1804476729
53051,Pend Oreille County,Washington,25.8,10.066915863
56029,Park County,Wyoming,25.8,7.9950518954
56031,Platte County,Wyoming,25.8,4.3427302856
01075,Lamar County,Alabama,25.9,0.416253749
05015,Carroll County,Arkansas,25.9,6.8550358313
05029,Conway County,Arkansas,25.9,9.7478411188
13015,Bartow County,Georgia,25.9,11.693154646
13085,Dawson County,Georgia,25.9,0.2594398853
13157,Jackson County,Georgia,25.9,9.3541358479
18007,Benton County,Indiana,25.9,1.1039868053
19135,Monroe County,Iowa,25.9,2.299612329
20105,Lincoln County,Kansas,25.9,9.5348516418
20143,Ottawa County,Kansas,25.9,9.920968966
21215,Spencer County,Kentucky,25.9,No Data
27165,Watonwan County,Minnesota,25.9,1.1010797314
28037,Franklin County,Mississippi,25.9,15.032259496
29203,Shannon County,Missouri,25.9,4.9253467019
37003,Alexander County,North Carolina,25.9,7.5938642901
37093,Hoke County,North Carolina,25.9,7.8582628107
37127,Nash County,North Carolina,25.9,5.4610423245
37141,Pender County,North Carolina,25.9,5.7035419634
38091,Steele County,North Dakota,25.9,12.454076743
40141,Tillman County,Oklahoma,25.9,17.691441392
47043,Dickson County,Tennessee,25.9,3.9065369585
47135,Perry County,Tennessee,25.9,13.717444494
48015,Austin County,Texas,25.9,2.2417782993
55003,Ashland County,Wisconsin,25.9,11.284832625
55047,Green Lake County,Wisconsin,25.9,2.8098972931
02110,Juneau City and Borough,Alaska,26,1.9616013613
05147,Woodruff County,Arkansas,26,3.227311218
12009,Brevard County,Florida,26,12.056888393
12071,Lee County,Florida,26,11.995375685
12117,Seminole County,Florida,26,6.1275098398
17011,Bureau County,Illinois,26,9.7949444295
17015,Carroll County,Illinois,26,4.4828139587
17067,Hancock County,Illinois,26,14.116468963
18137,Ripley County,Indiana,26,0.8124976246
18151,Steuben County,Indiana,26,11.459214662
21003,Allen County,Kentucky,26,8.6515194408
21017,Bourbon County,Kentucky,26,12.260506805
21189,Owsley County,Kentucky,26,1.3953468355
26027,Cass County,Michigan,26,3.230484367
26161,Washtenaw County,Michigan,26,6.0622713033
32021,Mineral County,Nevada,26,32.723600023
38019,Cavalier County,North Dakota,26,8.248739338
38021,Dickey County,North Dakota,26,2.8352131412
40105,Nowata County,Oklahoma,26,10.729056691
46039,Deuel County,South Dakota,26,9.9532614086
48085,Collin County,Texas,26,2.8394114839
48231,Hunt County,Texas,26,8.427539815
49027,Millard County,Utah,26,5.0295420822
51125,Nelson County,Virginia,26,2.1073213848
51610,Falls Church City,Virginia,26,No Data
51630,Fredericksburg City,Virginia,26,3.7918729695
55023,Crawford County,Wisconsin,26,8.4141471318
56001,Albany County,Wyoming,26,9.2184036406
01131,Wilcox County,Alabama,26.1,23.682986073
05005,Baxter County,Arkansas,26.1,5.6192546204
12073,Leon County,Florida,26.1,9.3984582087
13027,Brooks County,Georgia,26.1,4.6672929212
13127,Glynn County,Georgia,26.1,12.362051109
18105,Monroe County,Indiana,26.1,5.3460591327
19159,Ringgold County,Iowa,26.1,3.1907016279
